gage_id,seg_id,RefNonRef,Area,NSE,Pbias,RSR,AbsPbias,NSEeval,AbsPbiaseval,RSReval,SumScore,DI
02080500,7197,NonRef,-1.031484713,0.360961306,14.1,0.799380408,14.1,0,1,0,1,29
02053500,7231,NonRef,-1.163244594,0.381203328,-16.5,0.78661805,16.5,0,1,0,1,9
02043500,7249,Ref   ,-4.834872374,0.590203829,-23,0.640129248,23,1,1,1,3,12
0204382800,7255,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
02083000,7274,NonRef,-0.802444107,0.728870342,-0.5,0.520689039,0.5,1,1,1,3,10
02082950,7282,Ref   ,-0.757495052,0.639110322,-23,0.600724576,23,1,1,1,3,9
02093000,7287,NonRef,19.86890932,0.220656732,-60.6,0.882777507,60.6,0,0,0,0,10
02108000,7304,Ref   ,123916.5631,-0.458045035,-99.9,1.20746734,99.9,0,0,0,0,14
02108500,7319,Ref   ,-0.59813245,0.086172334,-72.7,0.955893371,72.7,0,0,0,0,11
02173500,7330,NonRef,-2.389527239,-1.473313429,-61.9,1.572640656,61.9,0,0,0,0,17
02172300,7334,NonRef,-5.454545455,-0.756052654,-73.8,1.324994965,73.8,0,0,0,0,16
02173000,7344,NonRef,-1.801800573,-0.945773145,-59.6,1.394871476,59.6,0,0,0,0,17
02173030,7342,NonRef,-1.235405476,-0.647468172,-56.2,1.283442441,56.2,0,0,0,0,17
02173051,7345,NonRef,-0.751924084,-0.57747556,-64.5,1.255884152,64.5,0,0,0,0,17
02376115,7346,NonRef,-7.187927753,0.104291434,-70.3,0.94636059,70.3,0,0,0,0,23
02092500,7357,Ref   ,-0.014283674,0.689761315,-8.4,0.556977818,8.4,1,1,1,3,9
02236125,7374,NonRef,-2.579877918,-0.160456762,-1.4,1.077149228,1.4,0,1,0,1,25
