gage_id,seg_id,RefNonRef,Area,NSE,Pbias,RSR,AbsPbias,NSEeval,AbsPbiaseval,RSReval,SumScore,DI
01194000,1150,Ref   ,-2.748209793,0.631237123,-4,0.607213065,4,1,1,1,3,15
01194500,1151,Ref   ,-1.086715458,0.513098679,-1.2,0.697758667,1.2,1,1,1,3,12
01197000,1159,NonRef,-0.459682715,0.428560334,-8,0.755918745,8,0,1,0,1,23
01198000,1162,Ref   ,-4.259513038,0.423951957,-13,0.758936535,13,0,1,0,1,9
01198125,1165,NonRef,-0.386244304,0.606984304,-9,0.626730395,9,1,1,1,3,23
01199000,1172,NonRef,-0.031062903,0.558068534,-5,0.664763836,5,1,1,1,3,24
01197500,1170,NonRef,-0.560317925,0.595080565,-11.9,0.636318038,11.9,1,1,1,3,24
01198500,1171,NonRef,-0.22172949,0.565290781,-6.8,0.659281855,6.8,1,1,1,3,25
01199050,1173,NonRef,-1.239544493,-0.105447924,0.1,1.051373007,0.1,0,1,0,1,19
01199200,1177,Ref   ,-17.87893008,0.070591883,-10.8,0.963996039,10.8,0,1,0,1,11
01206900,1184,NonRef,-1.187140467,0.317115144,2.9,0.826345506,2.9,0,1,0,1,32
01200000,1185,NonRef,-0.521405049,0.587538005,-4.5,0.642216183,4.5,1,1,1,3,17
01203600,1188,NonRef,-2.976484131,0.500285082,-3,0.706865747,3,1,1,0,2,17
01204000,1204,NonRef,-0.600894724,0.55926646,-1.7,0.663862251,1.7,1,1,1,3,16
01203805,1190,Ref   ,-1.008384738,0.633151817,-2.9,0.605590357,2.9,1,1,1,3,12
01208500,1210,NonRef,-0.101051629,0.542169476,-3.5,0.67661605,3.5,1,1,1,3,31
01205700,1194,NonRef,-3.703179211,0.388871483,13.1,0.781720696,13.1,0,1,0,1,21
01205600,1195,NonRef,-0.538504546,0.203637939,31.3,0.892360314,31.3,0,0,0,0,23
01202501,1196,NonRef,-4.513671337,0.213350335,-8.7,0.886801477,8.7,0,1,0,1,24
01200500,1199,NonRef,-0.056694746,0.667764991,-6.1,0.576384934,6.1,1,1,1,3,20
01201487,1205,NonRef,1.975676428,0.41160332,-22.5,0.766941349,22.5,0,1,0,1,18
01203510,1208,NonRef,-1.297460798,0.432091215,-35.9,0.753507125,35.9,0,0,0,0,21
01205500,1221,NonRef,0.099645826,0.645680392,-8.7,0.595233707,8.7,1,1,1,3,25
01209700,1234,NonRef,1.681127983,0.696545379,-2,0.550851222,2,1,1,1,3,18
01208990,1230,Ref   ,-7.61108667,0.620772577,1.6,0.615795809,1.6,1,1,1,3,12
012095493,1231,NA,NA,0.192383983,-37.7,0.898492653,37.7,0,0,0,0,NA
01209761,1434,NonRef,-33.46640053,0.468848379,-2.8,0.728707669,2.8,0,1,0,1,14
01208925,1233,NonRef,-1.596476741,0.546673815,27.4,0.673270278,27.4,1,0,1,2,21
01208873,1237,NonRef,-13.4835129,-0.113960154,30.3,1.055398309,30.3,0,0,0,0,19
